,title,publishers,sheet_music,date,month,day,year,chart
46,BETTER,(Thegreatkhalid -- ASCAP/Right Hand Music Group -- ASCAP/All The Noise -- ASCAP/Sony/ATV Tunes LLC -- ASCAP/EMI April Music  Inc. -- ASCAP/EMI Music Publishing Ltd. -- PRS/Jamil Chammas Publishing -- ASCAP/Cuts Of Reach Music -- ASCAP/BMG Gold Songs -- ASCAP/Ryan Vojtesak Publishing Designee -- BMI/Songs Of Universal  Inc. -- BMI/Orange Factory Tunes -- ASCAP),HL,2019-01-05,01,05,2019,H100  51 ; RBH  15 ; RBS   2
47,BETTER BOAT,(Warner-Tamerlane Publishing Corp. -- BMI/Liz Rose Music -- LLC -- BMI/It’s Killer Music -- BMI/She And I -- LLC -- BMI/Songs Of Mighty Isis Music -- BMI/Songs Of Kobalt Music Publishing America  Inc. -- BMI),AMP,2019-01-05,01,05,2019,CS  50
48,BETTER NOW,(Posty Publishing -- BMI/Songs Of Universal  Inc. -- BMI/WMMW -- ASCAP/Sony/ATV Tunes LLC -- ASCAP),HL,2019-01-05,01,05,2019,H100  23 ; RBH   8 ; RS   8
49,CALLING MY SPIRIT,(Dollaz-N-Dealz Entertain-ment -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/Joshua Luellen Publishing -- BMI/Momo Elena Music -- ASCAP),AMP,2019-01-05,01,05,2019,H100  74 ; RBH  29
50,CALMA,(Warner-Tamerlane Publishing Corp. -- BMI/Timbasoul Productions -- BMI/Cutting Cane Publishing -- ASCAP/WB Music Corp. -- ASCAP/407 Multimedia Publishing -- ASCAP),AMP,2019-01-05,01,05,2019,LT  25
51,CAN’T KNOCK THE HUSTLE,(E.O. Smith Music -- BMI/Wixen Music Publishing -- BMI),,2019-01-05,01,05,2019,RO  42
52,CAN’T LEAVE WITHOUT IT,(Not Listed),,2019-01-05,01,05,2019,H100  58 ; RBH  18 ; RS  16
53,CAN’T TURN BACK,(P Alex Publishing -- BMI/HARRODLYRJON 3 -- ASCAP/Willie Jones Pub-lishing Designee -- BMI),,2019-01-05,01,05,2019,GS  13
54,CARO,(Not Listed),,2019-01-05,01,05,2019,LT  32
55,CAUGHT UP IN THE COUNTRY,(WB Music Corp. -- ASCAP/Freshy Music -- ASCAP/We-Volve Music -- ASCAP/Goes Something Like THIS Music -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/Make It Matter Music -- BMI/Sixteen Stars Music -- BMI),AMP,2019-01-05,01,05,2019,CS  37
